date,redfin,zillow
2022-11-08T05:22:13.942385+00:00,883433,803200
2022-11-09T05:25:17.544118+00:00,883433,803200
2022-11-10T05:21:55.712474+00:00,883433,803200
2022-11-11T05:18:51.291389+00:00,883433,803200
2022-11-12T05:13:55.470039+00:00,883433,803200
2022-11-13T05:14:50.355747+00:00,859400,803200
2022-11-14T05:21:18.214319+00:00,859400,797100
2022-11-15T05:11:57.955935+00:00,859400,797100
2022-11-16T05:11:58.339163+00:00,859400,797100
2022-11-17T05:13:23.688896+00:00,859400,797100
2022-11-18T05:12:33.408799+00:00,859400,797100
2022-11-19T05:12:18.611487+00:00,859181,797100
2022-11-20T05:11:58.845272+00:00,859181,797100
2022-11-21T05:12:42.283804+00:00,859181,797100
2022-11-22T05:12:39.342651+00:00,859181,797100
2022-11-23T05:11:41.658659+00:00,859181,797100
2022-11-24T05:12:56.914309+00:00,859181,797100
2022-11-25T05:11:51.084331+00:00,859181,797100
2022-11-26T05:10:47.021251+00:00,859181,797100
2022-11-27T05:11:04.638036+00:00,859181,797100
2022-11-28T05:12:01.910948+00:00,859181,797100
2022-11-29T05:12:01.360619+00:00,860042,797100
2022-11-30T05:12:01.128055+00:00,860042,797100
2022-12-01T05:12:04.199763+00:00,839345,794200
2022-12-02T05:11:18.614211+00:00,839345,794200
2022-12-03T05:10:22.917508+00:00,839345,794200
2022-12-04T05:10:44.045103+00:00,839345,794200
2022-12-05T05:11:41.174713+00:00,839345,794200
2022-12-06T05:11:33.369259+00:00,842386,794200
2022-12-07T05:11:08.220602+00:00,842386,794200
2022-12-08T05:11:26.610655+00:00,842386,794200
2022-12-09T05:11:10.517410+00:00,842386,794200
2022-12-10T05:10:39.009106+00:00,842386,794200
2022-12-11T05:10:28.157070+00:00,842386,791000
2022-12-12T05:11:14.926907+00:00,842386,791000
2022-12-13T05:11:01.969247+00:00,842386,791000
2022-12-14T05:11:22.360596+00:00,823428,791000
2022-12-15T05:11:39.728141+00:00,823428,791000
2022-12-16T05:10:29.364900+00:00,823428,791000
2022-12-17T05:09:59.005623+00:00,823428,791000
2022-12-18T05:10:18.736183+00:00,823428,791000
2022-12-19T05:11:25.357007+00:00,823428,788400
2022-12-20T05:11:13.499488+00:00,823428,788400
2022-12-21T05:11:21.424330+00:00,823428,788400
2022-12-22T05:11:50.594620+00:00,823428,788400
2022-12-23T05:10:48.729344+00:00,817758,788400
2022-12-24T05:10:49.629766+00:00,819252,788400
2022-12-25T05:10:12.288294+00:00,819252,785300
2022-12-26T05:10:46.783288+00:00,819252,785300
2022-12-27T05:10:51.087976+00:00,819252,785300
2022-12-28T05:10:34.580243+00:00,819252,785300
2022-12-29T05:11:20.568763+00:00,819252,785300
2022-12-30T05:11:30.766027+00:00,819252,785300
2022-12-31T05:10:16.493924+00:00,819252,785300
2023-01-01T05:10:07.525901+00:00,819252,785300
2023-01-02T05:10:50.411818+00:00,819252,785300
2023-01-03T05:10:32.661403+00:00,816228,785300
2023-01-04T05:12:00.994073+00:00,816228,785300
2023-01-05T05:11:37.042060+00:00,816228,785300
2023-01-06T05:11:34.534787+00:00,816228,780700
2023-01-07T05:10:22.987912+00:00,816228,780700
2023-01-08T05:10:53.162654+00:00,840641,780700
2023-01-09T05:11:54.231710+00:00,840641,780700
2023-01-10T05:10:51.078053+00:00,840641,780700
2023-01-11T05:11:18.609648+00:00,840641,778000
2023-01-12T05:11:25.415144+00:00,840641,778000
2023-01-13T05:11:27.630537+00:00,840641,783600
2023-01-14T05:10:23.115543+00:00,840641,783600
2023-01-15T05:11:57.984674+00:00,840641,774300
2023-01-16T05:12:39.967348+00:00,840641,774300
2023-01-17T05:10:50.139562+00:00,840641,774300
2023-01-18T05:11:04.328137+00:00,840641,774300
2023-01-19T05:11:48.073143+00:00,839961,774300
2023-01-20T05:11:08.016538+00:00,839961,774300
2023-01-21T05:11:17.658372+00:00,839961,781700
2023-01-22T05:10:26.158503+00:00,839961,781700
2023-01-23T05:11:05.138024+00:00,839961,781700
2023-01-24T05:10:18.028122+00:00,817089,781700
2023-01-25T05:10:44.179588+00:00,817089,784800
2023-01-26T05:10:54.939616+00:00,817089,784800
2023-01-27T05:11:06.294959+00:00,817089,784800
2023-01-28T05:10:43.183009+00:00,817089,784800
2023-01-29T05:10:16.482760+00:00,807771,791400
2023-01-30T05:11:18.569492+00:00,807771,791400
2023-01-31T05:11:00.126505+00:00,807771,784100
2023-02-01T05:11:51.827720+00:00,807771,784100
2023-02-02T05:10:49.610583+00:00,807771,784100
2023-02-03T05:11:46.304134+00:00,807771,784100
2023-02-04T05:10:17.619304+00:00,807771,784100
2023-02-05T05:10:49.997027+00:00,807771,784100
